HomeTeam,AwayTeam,HomeForm_raw,AwayForm_raw,HomeOdds_raw,DrawOdds_raw,AwayOdds_raw,HomeForm,AwayForm,HomeOdds,DrawOdds,AwayOdds,FormDiff,FormGroup,Prob_Home,Prob_Draw,Prob_Away,EV_Home,EV_Draw,EV_Away,BestSide,BestEV,MarketImpHome,MarketImpAway,MarketImpDraw,OddsHome,OddsDraw,OddsAway,Decision,StakeFlat,StakeKellyUnit,ProbMargin
Utrecht II,Roda JC,1.36,1.91,2.42,3.8,2.4,1.36,1.91,2.42,3.8,2.4,-0.5499999999999998,Away Strong,0.10185821833634019,0.3354773278601747,0.5626644538034851,-0.7535031116260568,0.27481384586866375,0.350394689128364,Away,0.350394689128364,0.3780467584148566,0.38119714806831373,0.24075609351682972,2.42,3.8,2.4,BET,1.0,0.0625704802014936,0.18146730573517134
Perak,PKNS,2.2,0.8,2.86,3.15,2.3,2.2,0.8,2.86,3.15,2.3,1.4000000000000001,Home Strong,0.9587190377349948,0.02473470270972171,0.01654625955528348,1.7419364479220851,-0.9220856864643766,-0.961943603022848,Home,1.7419364479220851,0.3173177995795375,0.39457778556412054,0.2881044148563419,2.86,3.15,2.3,NO_BET,0.0,0.0,0.6414012381554572
İstanbul Başakşehir,Gaziantep FK,1.25,1.5,1.73,3.95,4.52,1.25,1.5,1.73,3.95,4.52,-0.25,Balanced,0.14491168024983006,0.6516073307089065,0.20348098904126344,-0.749302793167794,1.5738489563001807,-0.08026592953348932,Draw,1.5738489563001807,0.5492338596798854,0.21021561443500034,0.24055052588511427,1.73,3.95,4.52,NO_BET,0.0,0.0,0.41105680482379225
Gençlerbirliği,Trabzonspor,1.63,2.0,3.25,3.3,2.15,1.63,2.0,3.25,3.3,2.15,-0.3700000000000001,Balanced,0.11176287309392793,0.3569495359620355,0.5312875909440365,-0.6367706624447342,0.17793346867471715,0.14226832052967864,Draw,0.17793346867471715,0.2860022170714502,0.4323289327824247,0.2816688501461252,3.25,3.3,2.15,NO_BET,0.0,0.0,0.0752806858159103
BB Bodrumspor,Amed,2.56,1.44,1.94,3.5,3.36,2.56,1.44,1.94,3.5,3.36,1.12,Home Strong,0.897287178335833,0.07903354983340483,0.023679271830762176,0.7407371259715161,-0.7233825755830832,-0.920437646648639,Home,0.7407371259715161,0.4691164972634871,0.2708589299676086,0.2600245727689042,1.94,3.5,3.36,BET,1.0,0.19700455477965856,0.42817068107234596
Menemen Belediyespor,Hekimoğlu Trabzon,1.67,1.56,1.82,3.45,3.42,1.67,1.56,1.82,3.45,3.42,0.10999999999999988,Balanced,0.360859544900829,0.4701004882738139,0.16903996682535719,-0.34323562828049115,0.621846684544658,-0.4218833134572785,Draw,0.621846684544658,0.48550760418724065,0.25836954374876553,0.25612285206399366,1.82,3.45,3.42,NO_BET,0.0,0.0,0.21397763620982024
Adanaspor,Muş Menderesspor,0.5,1.22,20.0,11.0,1.03,0.5,1.22,20.0,11.0,1.03,-0.72,Away Strong,0.04667185944309015,0.04969247672087982,0.9036356638360299,-0.06656281113819695,-0.45338275607032197,-0.06925526624888922,Home,-0.06656281113819695,0.044972809907514,0.8732584448060969,0.08176874528638908,20.0,11.0,1.03,NO_BET,0.0,0.0,0.001699049535576154
Kırklarelispor,Yeni Mersin İY,1.63,0.38,1.55,3.6,5.0,1.63,0.38,1.55,3.6,5.0,1.25,Home Strong,0.8556477690337398,0.13767969119350285,0.006672539772757198,0.3262540420022968,-0.5043531117033897,-0.966637301136214,Home,0.3262540420022968,0.5745292052345994,0.17810405362272583,0.24736674114267476,1.55,3.6,5.0,BET,1.0,0.1482972918192258,0.28111856379914046
Elazığspor,Erzin Belediyespor,0.89,1.78,1.68,3.74,4.4,0.89,1.78,1.68,3.74,4.4,-0.89,Away Strong,0.06756232589779107,0.466559130950112,0.465878543152097,-0.886495292491711,0.7449311497534188,1.0498655898692268,Away,1.0498655898692268,0.5461448598130841,0.2085280373831776,0.24532710280373832,1.68,3.74,4.4,NO_BET,0.0,0.0,0.2573505057689194
Napredak,Radnički Kragujevac,0.8,1.1,3.4,3.6,2.1,0.8,1.1,3.4,3.6,2.1,-0.30000000000000004,Balanced,0.1208601748986923,0.1979483708580902,0.6811914542432176,-0.5890754053444462,-0.28738586491087525,0.4305020539107569,Away,0.4305020539107569,0.28062360801781744,0.4543429844097996,0.26503340757238314,3.4,3.6,2.1,NO_BET,0.0,0.0,0.226848469833418
